author_id,name,biography,birth_date,death_date
1,Edmund Crispin,"Edmund Crispin, İngiliz yazar, şair ve besteci olarak tanınır. En çok, ""Gervase Fen"" adlı dedektif karakterinin yer aldığı polisiyeleriyle tanınır. Yazar, edebiyat ve müzik alanındaki çok yönlü yetenekleriyle bilinir. Crispin’in romanları, zekice kurgulanmış cinayetler ve entelektüel mizah içerir.",1921-10-04,2005-09-15
2,Richard Matheson,"Richard Matheson, Amerikalı yazar ve senaristtir. ""I Am Legend"" adlı ünlü romanı, zombi ve kıyamet sonrası türlerinin temel taşlarından biri olarak kabul edilir. Ayrıca, televizyon dizisi ""The Twilight Zone"" için birçok senaryo yazmıştır. Eserlerinde bilim kurgu, korku ve gerilim unsurlarını harmanlamıştır.",1926-02-20,2013-06-23
3,Colette,"Colette, Fransız yazar ve gazetecidir. En tanınmış eseri ""Gigi""'dir. Yazar, özellikle kadınların toplumsal rollerine dair keskin gözlemleriyle dikkat çeker. Colette, edebiyat dünyasında hem bir feminist ikon hem de cesur bir yazar olarak kabul edilir.",1873-01-28,1954-08-03
4,Jasmin Ramadan,"Jasmin Ramadan, Cezayir kökenli İsviçreli bir yazardır. Eserleri, kültürler arası çatışmalar, göçmenlik ve kimlik arayışı gibi temalar etrafında şekillenir. ""The Arabic Novel"" gibi önemli eserleriyle tanınmaktadır.",1967-01-01,
5,Georges Bataille,"Georges Bataille, Fransız yazar, filozof ve sanat teorisyenidir. Bataille, erotizm, mistisizm ve toplumun sınırlarını zorlayan düşüncelerle tanınır. ""La Historie de l'Oeil"" adlı eseri, erotik ve felsefi içerikleriyle dikkat çeker.",1897-09-10,1962-07-09
6,Sabahattin Kudret Aksal,"Türk yazar ve şair Sabahattin Kudret Aksal, kısa öykü ve tiyatro oyunlarıyla tanınır. En ünlü eseri ""Bir Gün"" adlı",1929-01-01,1983-07-09
7,Pittacus Lore,"Pittacus Lore, Amerikalı yazar ve ""Lorien Legacies"" serisinin yazarıdır. En bilinen eseri ""I Am Number Four"" romanıdır. Serisi, gençler için bilim kurgu ve aksiyon türünde bir başarıya imza atmıştır.",1980-07-02,
8,Neil Gaiman,"Neil Gaiman, İngiliz yazar ve senaristtir. Gaiman, özellikle fantezi, korku ve bilim kurgu türlerindeki eserleriyle tanınır. En ünlü eserlerinden biri ""American Gods"" adlı romandır. Ayrıca ""Sandman"" adlı çizgi roman serisiyle de büyük ün kazanmıştır.",1960-11-10,
9,İlhan Uçkan,"Türk yazar ve gazeteci olan İlhan Uçkan, edebiyat dünyasında özellikle gençlik kitapları ve romanlarıyla tanınmaktadır.",1958-06-01,
10,Henning Mankell,"İsveçli yazar Henning Mankell, en çok Kurt Wallander adlı dedektif karakteriyle tanınır. Suç ve gerilim romanları yazmıştır.",1948-02-03,2015-10-05
11,Sabaa Tahir,"Amerikalı yazar Sabaa Tahir, “An Ember in the Ashes” adlı romanı ile tanınan genç bir yazardır. Genç yetişkin edebiyatı alanında eserler vermektedir.",1983-12-01,
12,Mustafa Mutlu İbili,"Türk yazar ve şair Mustafa Mutlu İbili, özellikle toplumsal konularda yazdığı şiir ve denemelerle tanınmaktadır.",1975-04-14,
13,Duygu Döner,"Türk edebiyatında yeni nesil yazarlar arasında yer alan Duygu Döner, roman ve denemelerle tanınmıştır.",1992-03-22,
14,Miranda Dickinson,"İngiliz yazar Miranda Dickinson, aşk ve ilişkiler üzerine yazdığı romanlarıyla tanınmaktadır.",1974-04-01,
15,Adam Nevill,"İngiliz yazar Adam Nevill, korku ve gerilim türlerinde eserler vermektedir. “The Ritual” adlı kitabı özellikle dikkat çekmiştir.",1969-01-01,
16,Will James,"Amerikalı yazar Will James, özellikle kovboy ve batı tarzı hikayeleriyle tanınır. Gerçek ismi William Henry Jackson'dır.",1892-05-01,1942-10-15
17,Daniel Cole,"İngiliz yazar Daniel Cole, “The Stranger” adlı suç romanıyla tanınmıştır. Polisiye türünde eserler yazmaktadır.",1990-01-01,
18,William R. Leibowitz,"Amerikalı yazar William R. Leibowitz, bilim kurgu ve gerilim romanlarıyla tanınmaktadır.",1957-07-19,
19,William Beckford,"İngiliz yazar ve sanatçı William Beckford, en çok “Vathek” adlı gotik romanıyla tanınır. Ayrıca çok varlıklı bir aristokrat ve koleksiyonerdir.",1760-09-29,1844-05-02
20,Cayla Kluver,"Amerikalı yazar Cayla Kluver, özellikle genç yetişkin edebiyatı alanında yazdığı fantastik romanlarla tanınmaktadır.",1988-04-18,
21,Albert Cohen,"Fransız yazar Albert Cohen, 20. yüzyılın önemli edebiyatçılarından biridir. Eserlerinde genellikle Yahudi kimliği ve bireysel mücadeleleri işler.",1895-08-16,1981-10-17
22,İvan Sergeyeviç Turgenyev,"İvan Sergeyeviç Turgenyev, Rus edebiyatının önemli isimlerinden biridir. 1818'de doğmuş, 1883'te hayatını kaybetmiştir. En bilinen eserleri arasında ""Babalar ve Oğullar"" yer alır.",1818-11-09,1883-09-03
23,Herman Koch,"Herman Koch, Hollandalı yazardır. Eserlerinde genellikle insan doğası, ahlaki ikilemler ve toplum eleştirisi işler.",1953-09-05,
24,Adnan Gökçe,"Adnan Gökçe, Türk edebiyatı alanında çeşitli eserler veren yazarlardan biridir. Genellikle kısa hikayeleri ve denemeleri ile tanınır.",,
25,Ramazan Cıcık,"Ramazan Cıcık, Türk edebiyatında roman ve hikaye yazan bir yazardır. Modern Türk edebiyatına katkıları büyük olmuştur.",,
26,Kazuo Ishiguro,"Kazuo Ishiguro, İngiliz yazar ve Nobel Edebiyat Ödülü sahibi bir yazardır. 1954 doğumlu olan Ishiguro, eserlerinde bellek, kimlik ve geçmişi işler. ""Günümüzün en önemli yazarlarından biri"" olarak kabul edilir.",1954-11-08,
27,Ahmet Hakan Yıldırım,"Ahmet Hakan Yıldırım, Türk kökenli bir yazardır. Makale, deneme ve roman türlerinde eserler vermiştir. Ayrıca bir gazeteci ve televizyon sunucusudur.",,
28,Wolfgang Hohlbein,"Wolfgang Hohlbein, Almanya'nın en ünlü yazarlarından biridir. Fantastik ve bilim kurgu türlerinde yazdığı eserlerle tanınır.",1953-08-15,
29,Laurell K. Hamilton,"Laurell K. Hamilton, Amerikan yazar ve en çok tanınan eseri ""Anita Blake: Vampire Hunter"" serisinin yazarıdır. Aksiyon, korku ve romantizmi harmanlayarak fantastik edebiyat dünyasında kendine büyük bir yer edinmiştir.",1963-02-13,
30,A. Demir,"A. Demir, Türk edebiyatında modern roman ve hikaye türünde eserler veren bir yazardır. Toplumsal meseleleri bireysel hikayelerle harmanlayan Demir, okuyucularını derin düşünmeye yönlendirir. Eserlerinde sade ama etkili bir dil kullanarak geniş bir okuyucu kitlesine ulaşmıştır.",,
