ISBN,name,one_star_count,two_star_count,three_star_count,four_star_count,five_star_count,average_rating
9786050903003,Azrail Aynası,1,8,10,7,5,3.23
9786051868790,Altın Gözlüğün Esrarı-Sherlock Holmes,0,0,0,1,1,4.50
9786051868998,Mavi Yakut-Sherlock Holmes,95,570,3526,4188,2603,3.79
9789752977150,Brüksel Lahanası,0,2,4,3,1,3.30
9789752124301,Kafam Bozuk,0,3,4,5,8,3.90
9789752890619,Amsterdam''ın Gülü,1,4,13,5,2,3.12
9786258401547,Otuz Dokuz Basamak,1142,4183,14152,15028,8608,3.60
9786051416120,Türk Sokağı'ndaki Ev,68,150,1109,2736,2651,4.15
9789750846366,Çıplak Ayaklıydı Gece,9,88,236,204,80,3.42
9786258475418,Şeytanın Çırağı,8,102,752,1154,513,3.80
9789752126381,Çıplak Ceset - Özel Baskı,4,43,166,201,71,3.60
9789752116900,Ateş Etme İstanbul,7,15,58,76,39,3.64
9789752126442,Beyaz Eldiven Sarı Zarf - Özel Baskı,5,19,51,30,16,3.27
9789750846311,Bir Ses Böler Geceyi,22,116,370,332,143,3.47
9789750844799,Bücürü Ayarla,268,954,5256,10561,7053,3.96
9786053753957,Baskerville'lerin Köpeği - Sherlock Holmes -,2494,9790,64798,143175,139810,4.13
9786051712819,Margaret Thatcher Suikasti,312,1307,4018,3870,1427,3.44
9789752898134,Kara Manhattan,12,26,152,149,75,3.60
9786051710624,Boşanırken,1,0,0,0,0,1.00
9786051852058,Kaçak,1,7,27,27,8,3.49
9786257650366,Arsen Lüpen - Kibar Hırsız,365,1757,9103,13038,7612,3.81
9786257650359,Arsen Lüpenin İtirafları,18,75,431,800,505,3.93
9786050321517,Hades,80,320,1317,2080,1332,3.83
9789752731462,Can Dostu,40,176,867,1293,683,3.79
9789750846335,Ninatta'nın Bileziği,15,74,248,301,218,3.74
9789750850400,Gün Işığı,33,106,702,947,402,3.72
9789750845550,Aşkımız Eski Bir Roman,43,199,893,879,520,3.64
9786051066806,Cennete Açılan Kapı (Özel Baskı),0,2,1,3,2,3.63
9789752898738,Yüksek Pencere,237,659,4618,10693,7677,4.04
9786051415994,Playback,186,647,2963,4028,2645,3.79
9786051067414,Ölüm Oyunu (Özel Baskı),2,5,7,3,1,2.78
9786051718118,Sherlock Holmes-Baskervillelerin Köpeği,2494,9790,64799,143175,139813,4.13
9786051739830,Beni Kim Öldürdü?,7,14,38,43,18,3.43
9786052650066,Ölümü Ellerinde Tutarken,2283,8028,17214,13771,5015,3.24
9786052651421,Cinayet Defteri,3,23,91,116,65,3.73
9789750848605,Çifte Kıskaç,29,109,509,870,868,4.02
9789750846229,Agathanın Anahtarı,42,233,767,565,260,3.41
9786254491030,Oğullar ve Rencide Ruhlar,87,252,1281,3142,3383,4.16
9786254497063,Balkan Blues,6,31,137,116,38,3.45
9789754054064,Cinayetler Oteli,474,3115,13789,15081,9300,3.71
9789754059823,Beklenmeyen Misafir,191,776,4148,7677,8370,4.10
9786258401981,Ginza Hayaleti ve Diğer Gizem Öyküleri,5,31,137,179,79,3.69
9786258401202,Aynalar Cehennemi ve Diğer Öyküler,2,16,93,234,212,4.15
9786053044079,Yarım Ay Dedektiflik,211,841,3321,4065,3040,3.77
9786051710686,Saklambaç-Bir Dedektif John Rebus Polisiyesi 2,319,965,6602,10630,5483,3.83
9786254492600,Soruşturma,57,236,777,800,392,3.55
9786051711584,Dedektif Aristoteles,47,149,484,505,198,3.48
9786051416687,Sherlock Holmes'un Anıları,564,1536,13222,37203,47700,4.30
9786254494161,Kıyamet Park - Bir Kamu Davası 3,4,26,257,602,541,4.15
9786051714080,Sahte Dokuz,10,65,209,221,99,3.55
9786051713229,Devre Arası,62,164,543,501,187,3.40
9786051069890,Peder Brown'ın Masumiyeti,326,1186,4751,6512,4845,3.82
9786051416670,Sherlock Holmes'un Maceraları,1891,5227,40234,113554,149380,4.30
9786051713311,Nisan Şenliği,62,192,1029,1474,933,3.82
9789754058246,Işıklar Sönünce,79,450,1889,1700,910,3.58
9789750845475,Kıl Payı,21,94,473,955,843,4.05
9786051868226,Sherlock Holmes: Savaş Tanrılar,9,32,190,288,159,3.82
9786254486807,Yabancı,0,0,0,4,25,4.90
9786254480836,Sherlock Holmes-  Hüznün Zirvesinde Cinayet,0,0,0,0,2,5.00
9786258401776,Nüfus: 1280,158,437,2055,4790,3904,4.04
9786254490989,Cehennem Çiçeği,30,66,515,1761,2310,4.34
9786254491061,Kan ve Gül Bir Kara Dejavu,26,122,842,1706,1134,3.99
9786254495786,Büyük Uyku,3870,8971,33026,59689,54513,3.95
9786053045243,Beni Takip Et,7045,16242,50694,61680,72109,3.85
9786254491009,Tatlı Rüyalar,34,208,1081,1938,1348,3.95
9786050380637,Sherlock Holmes'un Vaka Kitabı,0,0,0,3,1,4.25
9786051068909,Düğümler ve Haçlar-Bir Dedektif John Rebus Polisiyesi 1,1058,3059,14873,22105,13537,3.81
9786053047001,Bizim Yerimizde Olmak İstiyorlar,842,3811,12970,11966,5215,3.49
9789752101739,Sıfıra Doğru,197,927,6188,10922,7122,3.94
9789754051377,Ve Perde İndi,502,1710,8613,17339,18075,4.10
9789754053876,Briç Masasında Cinayet,390,2082,15702,27625,18248,3.96
9789754052718,Noel'de Cinayet,316,2282,20489,39903,24779,3.99
9789752101722,Porsuk Ağacı Cinayeti,234,1505,12702,20897,12754,3.92
9789754052107,Fare Kapanı,111,881,5937,7433,4342,3.80
9789752101890,Üç Perdelik Cinayet,264,1786,12440,18149,9788,3.83
9789754054835,Ölümün Tam Zamanı,258,1319,4929,5584,4105,3.74
9786257737821,Sherlock Holmes - Ölüm Papirüsü,35,96,463,663,1283,4.21
9789752126374,Rol Çalan Ceset - Özel Baskı,4,18,108,80,33,3.49
9789752126466,Sen Ölürsün Ben Yaşarım - Özel Baskı,0,5,37,72,40,3.95
9789752126398,Kramponlu Ceset - Özel Baskı,2,19,106,173,49,3.71
9789752126404,Son Ceset - Özel Baskı,3,17,63,66,28,3.56
9789752126411,Bin Lotluk Ceset - Özel Baskı,2,17,112,125,38,3.61
9789752126435,Yenik ve Yalnız - Özel Baskı,5,11,37,86,47,3.85
9789750850936,Kaybolan Oyuncak Dükkanı,233,576,1998,2632,2012,3.75
9786050951059,Ucuz Ölüm,0,2,2,2,1,3.29
9789752109858,Miss Marple'ın Son Maceraları,102,669,3311,3898,2455,3.76
9789752103160,Üç Yanlış Üç Ceset,292,1811,11436,14115,7566,3.76
9789752103252,Ölüm Meleği,535,2353,10668,15722,11496,3.87
9789754053241,Ölüm Diken Üstünde,306,2344,16793,24842,14208,3.86
9789752124165,Örümcek Ağı,144,670,3287,4265,4051,3.92
9789752127715,Kütüphanedeki Ceset,0,1,8,7,3,3.63
9786051711980,Aristoteles ve Şiirsel Adalet,4,29,84,108,40,3.57
9786051711942,Diş İzleri-Bir Dedektif John Rebus Polisiyesi-3,185,723,4504,8903,5088,3.93
9786051710136,Solgun Suçlu,159,372,2058,4811,3050,3.98
9786051715469,Azazel,182,770,3319,5275,4102,3.90
9786051713694,Tanrı'nın Eli,32,88,265,329,122,3.50
9786051713953,Sessizliğin Öte Yakası,58,203,986,2493,2154,4.10
9786051422282,Alex Cross,704,2493,14151,26781,24353,4.05
9786050380330,Sherlock Holmes'un Son Görevi-Bütün Hikayeler Cilt 4,6,38,303,609,539,4.09
9789754059533,Beş Küçük Domuz,368,2203,17507,35658,25060,4.03
9789750846328,Şeytan Ayrıntıda Gizlidir,41,221,751,725,409,3.58
9789752103825,Kanatların Çağrısı,218,868,2863,2282,1268,3.47
9789752119628,Poirot Araştırıyor,531,3213,18646,25186,20571,3.91
9786051069845,Mart Menekşeleri,351,1038,4644,7383,4240,3.80
9786254494338,Metropolis - Dedektif Bernie Gunther 14,60,191,1063,2763,2775,4.17
9786051719399,Masadaki Düşman-Bir Dedektif John Rebus Polisiyesi 4,202,546,4099,7344,3901,3.88
9786051735016,Narcos-Jaguar'ın Pençesi,2,8,21,42,16,3.70
9786257737838,Sherlock Holmes - Şeytanın Vaadi,14,65,126,111,66,3.39
9786052650424,Kristal: Lanetli Kan,0,1,2,6,2,3.82
9786052651438,13 Numaralı Oda,12,27,129,104,64,3.54
9786050986433,Kestane Adam,537,1901,10001,31672,30775,4.21
9789752123366,Cinayet Randevusu,69,437,1989,1612,771,3.53
9789752126428,Bir Şapka Bir Tabanca - Özel Baskı,0,10,44,76,31,3.80
9789752126459,Ateş Etme İstanbul - Özel Baskı,7,15,58,76,39,3.64
9786254487149,Akıl Oyunlarının Gölgesinde - 125195 Yeni Ebatlı,4,37,160,427,420,4.17
9786254487170,Gerçekler Kanıt İster - 125x195 Yeni Ebatlı,1891,5227,40234,113554,149380,4.30
9786254487156,Suç Detayda Saklıdır - 125x195 Yeni Ebatlı,3,24,102,330,332,4.22
9789752105942,Üçüncü Kız,438,2513,11465,12276,7135,3.68
9789752112698,Ölüm Adası,326,1939,13636,19393,11286,3.85
9789752124721,Son Düşüş,567,1402,7430,20086,20903,4.18
9789752126169,On Kişiydiler (On Küçük Zenci),20672,37119,185921,478993,721080,4.28
9786050381528,Ruhi Mücerret,136,388,1172,1623,1300,3.77
9786051850467,Böcek,0,1,10,39,31,4.23
9786254495342,Derde Deva Randevu-3,2,1,11,25,14,3.91
9786254491016,Gizli Ajans,48,224,983,1330,909,3.81
9786053751465,En Karanlık Kuş,40,113,149,99,44,2.99
9786051861371,Affet Ama Unutma,311,1081,6842,16906,13063,4.08
9786053487548,Engerek,18,63,225,189,61,3.38
9786051711294,Ölüler Dirilmezse,33,178,1194,3376,2552,4.12
9786051711508,Sahra Grisi,53,179,1242,3191,2966,4.16
9786051716633,Afrika Üçlemesi 2.Kitap-Devrim,7,41,315,690,471,4.03
9786051719450,Sherlock Holmes'ün Anıları-Bütün Hikayeleri Cilt 2,564,1536,13222,37202,47699,4.30
9786051719924,Bir Yunan Hediyesi,51,209,1097,2465,1968,4.05
9786051711676,Ölümcül Prag,39,170,1133,3705,3104,4.19
9786051426921,Ölüm Işığı,97,317,2009,5049,4000,4.09
9786051714424,Evdeki Düşmanlar,8,56,444,1110,826,4.10
9786053044680,Amatör Dedektifler-1,111,400,1593,2375,1763,3.85
9786254493874,Diriliş Adamları: Bir Dedektif John Rebus Polisiyesi-13,165,381,2575,6259,4563,4.05
9786254491597,Karanlıktakiler - Bir Dedektif John Rebus Polisiyesi 11,169,326,2214,5578,3925,4.05
9786050380774,Derde Deva Randevu-2,3,2,43,100,91,4.15
9786051719467,Sherlock Holmes'ün Maceraları-Bütün Hikayeleri Cilt 1,1891,5227,40235,113553,149380,4.30
9786053043454,Çocukların Izdırabı,15,48,105,70,34,3.22
9786051712802,Zagrepli Kadın,59,133,1011,2734,2100,4.11
9786254490309,Çaylak,1,2,9,15,12,3.90
9786051713472,Aristoteles ve Yaşamın Sırları,4,13,51,64,27,3.61
9786254490361,Asma Bahçe - Bir Dedektif John Rebus Polisiyesi 9,113,296,2322,6368,4447,4.090
9786051716619,Afrika Üçlemesi 1.Kitap-Sürgün,66,163,600,1124,837,3.90
9786051710488,Biri ve Öteki,43,149,1221,4160,3216,4.18
9789752108851,Ölümle Randevu,444,2507,17614,26290,15782,3.87
9789752109513,Uyuyan Ölüm,352,1557,11066,20125,14403,3.98
9789752109100,Cinayet İlanı,483,2299,17015,34060,23496,4.010
9789752109612,N veya M ?,273,1615,7944,10614,6702,3.81
9789754059755,Cinayetler Kulübü,332,1601,9287,15245,11350,3.94
9786258327670,İçin İçin Yanan Ateş,3080,15744,63510,60918,21885,3.50
